Age,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
26,Non-Travel,Sales,29,2,2,Male,1,Sales Executive,Single,4969,8,No,3,4,0,7,6,3,2,2,2,2
38,Travel_Rarely,Sales,2,2,4,Male,3,Sales Executive,Single,7351,7,No,3,3,0,10,2,3,1,0,0,0
60,Travel_Frequently,Sales,28,3,3,Female,2,Sales Executive,Married,10266,4,No,3,4,0,22,5,4,18,13,13,11
38,Non-Travel,Research & Development,6,3,2,Female,1,Research Scientist,Divorced,5329,7,Yes,3,4,3,17,3,3,13,11,1,9
22,Travel_Rarely,Research & Development,7,1,4,Male,3,Research Scientist,Single,2472,1,Yes,4,1,0,1,2,3,1,0,0,0
38,Travel_Rarely,Research & Development,2,4,4,Male,3,Manufacturing Director,Married,6553,9,No,3,2,0,14,3,3,1,0,0,0
32,Travel_Rarely,Sales,19,3,4,Male,1,Sales Executive,Married,9610,3,No,3,3,1,10,2,1,4,3,0,2
33,Travel_Rarely,Sales,10,5,4,Male,4,Sales Executive,Divorced,8380,0,Yes,3,4,2,10,3,3,9,8,0,8
48,Travel_Rarely,Research & Development,20,4,4,Male,3,Research Scientist,Married,2259,4,No,3,1,2,13,2,2,0,0,0,0
34,Travel_Frequently,Sales,2,4,3,Female,3,Sales Representative,Married,2231,6,No,3,4,1,6,3,3,4,3,1,2
20,Travel_Frequently,Sales,9,3,4,Female,3,Sales Representative,Single,2323,1,Yes,3,2,0,2,3,3,2,2,0,2
34,Travel_Frequently,Research & Development,2,1,4,Male,2,Manufacturing Director,Married,9547,1,No,3,3,0,10,2,2,10,9,1,9
42,Non-Travel,Research & Development,10,4,3,Male,3,Research Scientist,Married,2936,3,No,4,2,2,10,1,2,6,3,3,3
34,Travel_Rarely,Research & Development,2,4,3,Female,3,Healthcare Representative,Single,6687,1,No,3,4,0,14,2,4,14,11,4,11
50,Travel_Rarely,Research & Development,9,3,1,Male,3,Laboratory Technician,Married,2380,4,No,3,2,0,8,5,3,1,0,0,0
26,Travel_Rarely,Human Resources,25,1,3,Female,3,Human Resources,Married,2942,1,No,4,4,1,8,3,3,8,7,5,7
33,Travel_Rarely,Research & Development,10,1,1,Male,1,Laboratory Technician,Divorced,3408,7,No,3,1,3,8,2,3,4,3,1,3
31,Travel_Frequently,Sales,2,3,3,Female,2,Sales Representative,Single,2785,7,No,3,3,0,3,3,4,1,0,0,0
27,Travel_Rarely,Research & Development,6,4,1,Female,2,Research Scientist,Divorced,2187,0,No,3,3,2,6,5,2,5,3,0,3
40,Travel_Rarely,Research & Development,1,4,2,Male,3,Laboratory Technician,Married,2387,3,No,4,3,1,7,3,3,4,2,0,3
42,Travel_Rarely,Research & Development,29,3,2,Male,3,Manufacturing Director,Married,4434,1,No,3,4,1,10,3,2,9,8,7,8
42,Travel_Frequently,Research & Development,19,3,3,Male,4,Research Scientist,Divorced,2759,6,Yes,3,4,0,7,2,3,2,2,2,2
31,Travel_Rarely,Research & Development,2,4,3,Male,3,Research Scientist,Divorced,2695,0,Yes,3,2,1,3,2,1,2,2,2,2
46,Travel_Frequently,Sales,5,4,1,Male,3,Sales Executive,Single,5772,4,Yes,4,3,0,14,4,3,9,6,0,8
31,Travel_Rarely,Research & Development,7,4,3,Female,3,Manufacturing Director,Single,7143,1,Yes,3,3,0,11,2,2,11,9,4,10
38,Travel_Frequently,Research & Development,6,4,1,Male,2,Manufacturing Director,Married,5321,2,No,3,4,1,10,1,3,8,3,7,7
58,Travel_Rarely,Research & Development,2,3,4,Male,3,Research Scientist,Single,2479,4,No,4,1,0,7,4,3,1,0,0,0
31,Non-Travel,Research & Development,10,3,3,Female,3,Research Director,Married,11031,4,No,4,3,1,13,2,4,11,7,4,8
30,Travel_Rarely,Research & Development,2,1,2,Male,2,Laboratory Technician,Single,2720,0,No,3,4,0,6,3,3,5,3,1,2
46,Non-Travel,Sales,26,2,2,Male,2,Sales Executive,Single,7991,8,No,3,3,0,6,3,3,2,2,2,2
27,Non-Travel,Sales,1,1,3,Male,3,Sales Executive,Married,6349,0,Yes,3,4,1,6,0,3,5,4,1,4
34,Travel_Rarely,Research & Development,20,3,3,Female,4,Research Scientist,Married,2585,0,No,3,4,0,2,5,2,1,0,0,0
33,Travel_Rarely,Research & Development,28,4,2,Male,3,Laboratory Technician,Married,5207,1,Yes,3,2,1,15,3,3,15,14,5,7
19,Travel_Rarely,Research & Development,3,1,2,Female,3,Laboratory Technician,Single,1483,1,No,3,4,0,1,3,3,1,0,0,0
35,Non-Travel,Research & Development,3,3,3,Male,2,Laboratory Technician,Married,1281,1,No,3,3,2,1,3,3,1,0,0,0
35,Travel_Rarely,Sales,18,4,2,Male,3,Sales Executive,Married,5561,0,No,3,4,1,6,2,1,5,3,0,4
31,Travel_Frequently,Sales,26,4,1,Male,3,Sales Executive,Married,5617,1,Yes,3,3,0,10,4,3,10,7,0,8
40,Non-Travel,Research & Development,16,2,3,Male,3,Research Scientist,Divorced,3544,9,No,3,2,1,6,0,3,4,2,0,0
39,Travel_Rarely,Research & Development,2,4,4,Female,2,Healthcare Representative,Single,4553,1,No,3,1,0,20,4,3,20,7,11,10
31,Travel_Rarely,Sales,7,3,4,Male,3,Sales Executive,Divorced,7547,4,No,3,4,3,13,3,3,7,7,1,7
51,Travel_Rarely,Research & Development,4,4,1,Male,3,Research Scientist,Married,2461,9,Yes,3,3,3,18,2,4,10,0,2,7
34,Travel_Rarely,Human Resources,9,4,1,Female,3,Human Resources,Married,2742,1,No,3,4,0,2,0,3,2,2,2,2
41,Travel_Rarely,Research & Development,9,4,3,Male,3,Laboratory Technician,Divorced,2289,1,No,4,2,2,5,2,3,5,3,0,4
18,Travel_Rarely,Sales,10,3,4,Female,2,Sales Representative,Single,1200,1,No,3,1,0,0,2,3,0,0,0,0
34,Travel_Rarely,Research & Development,27,2,4,Female,3,Research Scientist,Single,2311,2,No,3,4,0,9,3,3,3,2,1,2
35,Travel_Frequently,Sales,18,4,4,Female,3,Sales Executive,Married,4614,0,Yes,3,3,1,5,0,2,4,2,3,2
55,Travel_Rarely,Research & Development,2,3,4,Male,3,Manager,Married,19859,5,Yes,3,4,1,24,2,3,5,2,1,4
45,Travel_Rarely,Research & Development,28,2,4,Female,2,Research Director,Single,16704,1,No,3,3,0,21,2,3,21,6,8,6
29,Travel_Rarely,Human Resources,6,1,4,Male,2,Human Resources,Married,2804,1,No,3,4,0,1,3,3,1,0,0,0
44,Travel_Rarely,Sales,5,3,2,Male,3,Manager,Married,18213,7,No,3,3,1,26,5,3,22,9,3,10
35,Travel_Rarely,Sales,18,3,3,Female,3,Sales Executive,Married,4601,1,No,3,2,0,5,3,3,5,2,1,0
36,Travel_Rarely,Research & Development,26,4,1,Male,3,Healthcare Representative,Married,5347,6,No,3,2,2,10,2,2,3,2,0,2
34,Travel_Frequently,Research & Development,3,1,1,Male,3,Healthcare Representative,Single,7756,0,No,3,3,0,7,1,2,6,2,0,4
39,Travel_Rarely,Human Resources,3,3,3,Female,4,Human Resources,Married,6389,9,No,3,3,1,12,3,1,8,3,3,6
28,Travel_Rarely,Research & Development,27,3,2,Female,1,Manufacturing Director,Divorced,4877,0,No,4,2,1,6,5,2,5,3,0,0
34,Travel_Rarely,Sales,14,3,3,Female,3,Sales Representative,Divorced,2579,1,Yes,3,4,2,8,3,3,8,2,0,6
34,Travel_Rarely,Research & Development,7,4,1,Male,3,Research Scientist,Single,2972,1,No,3,3,0,1,4,1,1,0,0,0
25,Travel_Rarely,Research & Development,1,3,1,Female,3,Manufacturing Director,Married,4898,0,No,3,4,2,5,3,3,4,2,1,2
44,Travel_Rarely,Research & Development,3,4,4,Male,3,Manager,Married,19513,4,Yes,3,1,1,26,2,4,2,2,0,1
44,Travel_Rarely,Research & Development,20,3,4,Male,3,Research Scientist,Single,3420,1,No,3,3,0,6,3,2,5,2,1,3
41,Travel_Rarely,Research & Development,12,4,2,Male,3,Laboratory Technician,Married,4766,3,Yes,3,1,1,6,4,3,1,0,0,0
30,Travel_Rarely,Sales,29,4,3,Male,3,Sales Executive,Divorced,4115,8,No,3,3,3,8,3,3,4,3,0,3
30,Travel_Frequently,Sales,12,4,2,Male,2,Sales Representative,Married,2033,1,No,3,3,1,1,2,4,1,0,0,0
41,Non-Travel,Research & Development,2,4,1,Female,2,Healthcare Representative,Single,6811,2,Yes,3,1,0,10,3,3,8,7,0,7
24,Travel_Rarely,Sales,3,2,1,Female,3,Sales Executive,Married,4999,0,No,4,1,1,4,2,2,3,2,0,2
33,Travel_Rarely,Research & Development,1,4,3,Male,2,Research Scientist,Single,2799,3,Yes,3,2,0,6,1,3,3,2,0,2
22,Travel_Rarely,Research & Development,19,1,3,Male,3,Research Scientist,Married,2323,1,No,4,1,2,2,6,3,2,2,2,2
38,Travel_Frequently,Research & Development,2,2,3,Female,2,Laboratory Technician,Married,2468,4,No,3,2,1,9,4,2,6,1,0,5
32,Travel_Rarely,Research & Development,5,2,1,Male,4,Research Scientist,Divorced,3298,0,Yes,3,4,2,7,5,2,6,2,0,5
29,Travel_Rarely,Research & Development,29,1,4,Male,1,Healthcare Representative,Divorced,6384,8,No,3,4,2,11,3,3,7,0,1,6
37,Travel_Rarely,Research & Development,4,1,3,Male,3,Research Scientist,Married,2996,7,Yes,3,4,0,8,2,3,6,4,1,3
52,Travel_Frequently,Research & Development,25,4,3,Female,2,Manufacturing Director,Married,13826,3,No,4,3,0,31,3,3,9,8,0,0
39,Travel_Rarely,Research & Development,9,2,1,Male,3,Manufacturing Director,Married,5151,1,No,4,4,1,10,3,3,10,0,7,9
23,Travel_Frequently,Sales,9,3,4,Male,3,Sales Representative,Married,1790,1,No,3,1,1,1,3,2,1,0,1,0
53,Travel_Rarely,Research & Development,2,5,3,Female,2,Manufacturing Director,Married,10169,0,No,3,2,1,34,4,3,33,7,1,9
24,Travel_Rarely,Research & Development,1,2,2,Male,2,Healthcare Representative,Single,4617,1,No,3,2,0,4,2,2,4,3,1,2
29,Travel_Rarely,Research & Development,1,3,3,Male,3,Research Scientist,Single,2058,0,No,3,4,0,7,1,2,6,2,1,5
45,Travel_Rarely,Research & Development,2,2,4,Female,2,Manufacturing Director,Divorced,5770,1,No,3,1,2,10,3,3,10,7,3,9
34,Travel_Rarely,Research & Development,2,4,4,Male,4,Research Scientist,Married,2932,0,Yes,3,1,3,6,3,3,5,0,1,2
42,Non-Travel,Research & Development,23,2,4,Male,2,Research Scientist,Single,4332,1,No,3,4,0,20,2,3,20,9,3,7
46,Travel_Rarely,Sales,1,4,4,Male,4,Manager,Single,17567,1,No,3,2,0,27,5,1,26,0,0,12
26,Travel_Frequently,Research & Development,6,3,3,Male,4,Laboratory Technician,Married,2544,0,No,3,1,1,8,3,3,7,7,7,7
28,Travel_Rarely,Human Resources,8,2,2,Male,2,Human Resources,Divorced,4936,1,No,3,4,1,6,6,3,5,1,0,4
34,Travel_Rarely,Research & Development,7,4,1,Female,3,Research Director,Single,11994,0,No,3,3,0,13,4,3,12,6,2,11
35,Travel_Rarely,Research & Development,1,4,3,Female,1,Research Scientist,Married,2977,1,No,3,4,1,4,5,3,4,3,1,1
36,Travel_Frequently,Research & Development,18,4,3,Male,4,Laboratory Technician,Married,3688,4,No,3,4,2,4,2,3,1,0,0,0
29,Travel_Rarely,Human Resources,17,3,2,Male,2,Human Resources,Single,7988,1,No,3,1,0,10,3,2,10,9,0,9
35,Travel_Frequently,Research & Development,4,4,4,Male,2,Laboratory Technician,Married,2376,1,No,3,2,1,2,2,4,2,2,2,2
29,Travel_Rarely,Research & Development,2,3,3,Male,3,Research Scientist,Married,2703,0,No,4,4,1,6,3,3,5,4,0,4
26,Travel_Rarely,Sales,8,3,4,Male,2,Sales Executive,Single,5326,6,No,3,3,0,6,2,2,4,3,1,2
30,Travel_Rarely,Research & Development,16,1,2,Male,3,Research Scientist,Married,2862,1,No,3,2,1,10,2,2,10,0,0,8
38,Travel_Rarely,Research & Development,2,3,3,Male,3,Manufacturing Director,Married,4855,4,No,3,1,2,7,2,3,5,2,1,4
34,Travel_Rarely,Human Resources,3,2,3,Male,3,Human Resources,Married,3737,0,No,3,3,1,4,1,1,3,2,0,2
40,Travel_Rarely,Research & Development,2,2,1,Male,3,Research Director,Divorced,19436,0,No,3,4,1,22,5,3,21,7,3,9
53,Travel_Rarely,Sales,8,3,1,Male,3,Sales Executive,Married,11836,5,No,3,3,1,28,3,3,2,0,2,2
54,Non-Travel,Human Resources,26,3,4,Female,4,Manager,Single,17328,2,Yes,3,3,0,23,3,3,5,3,4,4
35,Travel_Rarely,Research & Development,28,3,2,Male,4,Laboratory Technician,Married,3407,1,No,3,4,2,10,3,2,10,9,6,8
43,Travel_Rarely,Research & Development,6,4,2,Male,2,Research Director,Divorced,16627,4,Yes,3,3,1,21,3,2,1,0,0,0
35,Travel_Rarely,Research & Development,9,3,4,Female,2,Manufacturing Director,Married,10685,1,Yes,4,2,1,17,2,3,17,14,5,15
56,Non-Travel,Research & Development,1,4,3,Male,3,Healthcare Representative,Divorced,6306,1,No,4,1,1,13,2,2,13,12,1,9
49,Travel_Rarely,Research & Development,7,4,3,Male,3,Healthcare Representative,Divorced,10466,3,No,3,2,2,29,3,3,8,7,0,7
37,Non-Travel,Research & Development,1,4,1,Female,3,Research Director,Divorced,13603,2,Yes,3,1,2,15,2,3,5,2,0,2
37,Travel_Rarely,Research & Development,1,3,2,Female,3,Manufacturing Director,Single,7491,4,No,3,4,0,12,3,4,6,5,1,2
43,Travel_Frequently,Research & Development,21,3,4,Male,3,Laboratory Technician,Married,2258,7,No,4,1,1,8,1,3,3,2,1,2
39,Travel_Rarely,Research & Development,10,1,3,Male,3,Research Director,Single,13464,7,No,4,3,0,9,3,3,4,3,2,2
36,Travel_Rarely,Research & Development,3,2,4,Male,4,Healthcare Representative,Divorced,6842,6,No,4,1,1,13,3,3,5,4,0,4
28,Travel_Frequently,Research & Development,1,4,4,Male,3,Laboratory Technician,Single,2154,0,Yes,3,3,0,5,2,2,4,2,0,2
29,Travel_Rarely,Research & Development,28,4,4,Female,2,Research Scientist,Single,3785,1,No,3,2,0,5,3,1,5,4,0,4
51,Travel_Rarely,Research & Development,8,4,2,Male,2,Research Director,Married,12490,5,No,3,4,2,16,5,1,10,9,4,7
27,Travel_Rarely,Research & Development,9,3,4,Female,3,Research Scientist,Single,2279,1,No,3,4,0,7,2,2,7,7,0,3
46,Travel_Rarely,Sales,2,3,3,Female,1,Manager,Married,16872,3,Yes,3,2,1,28,2,2,7,7,7,7
48,Travel_Rarely,Research & Development,1,3,4,Male,2,Research Director,Single,18265,6,No,3,3,0,25,3,4,1,0,0,0
51,Travel_Rarely,Sales,26,4,1,Female,3,Manager,Married,16307,2,No,3,3,1,29,2,2,20,6,4,17
42,Travel_Rarely,Research & Development,8,3,4,Male,3,Laboratory Technician,Single,3968,4,No,3,4,0,8,3,3,0,0,0,0
44,Travel_Rarely,Sales,1,5,2,Female,3,Sales Executive,Divorced,5454,5,Yes,4,3,1,9,2,2,4,3,1,3
25,Travel_Rarely,Sales,28,3,1,Male,2,Sales Executive,Married,8639,2,No,3,4,0,6,3,3,2,2,2,2
43,Travel_Frequently,Research & Development,9,5,4,Male,3,Laboratory Technician,Divorced,5679,3,Yes,3,2,1,10,3,3,8,7,4,7
32,Travel_Rarely,Research & Development,9,4,1,Female,3,Research Scientist,Married,6322,1,Yes,3,4,1,6,2,2,6,4,0,5
42,Travel_Rarely,Research & Development,13,3,2,Male,4,Healthcare Representative,Married,5538,5,No,3,3,2,10,2,2,0,0,0,0
35,Travel_Rarely,Research & Development,16,3,4,Male,3,Healthcare Representative,Married,7632,4,Yes,3,3,0,10,2,3,8,7,0,0
42,Travel_Rarely,Sales,12,4,2,Male,3,Sales Executive,Divorced,5087,3,Yes,3,3,2,14,4,3,0,0,0,0
22,Travel_Frequently,Research & Development,3,4,3,Male,2,Research Scientist,Married,2853,0,Yes,3,2,1,1,5,3,0,0,0,0
48,Non-Travel,Research & Development,1,4,1,Male,4,Manager,Single,16885,2,No,4,3,0,27,3,2,5,4,2,1
42,Travel_Rarely,Research & Development,6,3,3,Male,3,Research Director,Married,13348,9,No,3,2,1,18,3,4,13,7,5,7
42,Travel_Frequently,Research & Development,28,4,4,Female,2,Healthcare Representative,Married,4523,0,No,3,4,3,7,4,4,6,5,0,4
40,Travel_Rarely,Research & Development,14,3,3,Male,2,Research Director,Single,19626,1,No,3,1,0,21,2,4,20,7,4,9
34,Travel_Rarely,Research & Development,6,4,1,Female,3,Research Scientist,Single,4809,1,No,3,3,0,16,3,3,16,13,2,10
41,Travel_Rarely,Research & Development,5,5,2,Male,4,Research Scientist,Married,2127,2,Yes,3,1,0,7,5,2,4,2,0,3
52,Travel_Rarely,Research & Development,1,4,3,Male,2,Manager,Married,19999,0,No,3,1,1,34,5,3,33,18,11,9
25,Travel_Rarely,Sales,8,2,1,Female,3,Sales Executive,Divorced,4907,0,Yes,4,2,1,6,3,2,5,3,0,4
32,Travel_Rarely,Sales,1,4,3,Female,3,Sales Executive,Married,10422,1,No,3,3,2,14,3,3,14,10,5,7
38,Non-Travel,Human Resources,2,3,1,Male,3,Human Resources,Divorced,2592,5,No,3,4,3,13,3,3,11,10,3,8
31,Travel_Rarely,Research & Development,9,4,3,Male,2,Research Scientist,Single,2657,0,Yes,3,4,0,3,5,3,2,2,2,2
40,Travel_Rarely,Research & Development,2,2,3,Female,3,Laboratory Technician,Married,3377,4,No,3,4,1,7,5,2,4,3,0,2
51,Travel_Rarely,Human Resources,5,3,3,Male,3,Manager,Divorced,14026,1,Yes,3,2,1,33,2,3,33,9,0,10
51,Travel_Rarely,Research & Development,9,4,4,Male,3,Laboratory Technician,Married,2075,3,No,4,2,2,10,4,3,4,2,0,3
55,Non-Travel,Research & Development,2,1,3,Male,2,Manager,Single,16756,7,No,3,2,0,31,3,4,9,7,6,2
27,Non-Travel,Research & Development,9,3,4,Male,3,Research Scientist,Divorced,2024,6,No,3,4,1,6,1,1,2,2,2,2
33,Travel_Rarely,Research & Development,8,5,4,Male,3,Healthcare Representative,Single,6388,2,Yes,3,1,0,14,6,3,0,0,0,0
27,Travel_Frequently,Research & Development,5,2,4,Female,3,Laboratory Technician,Single,2379,0,Yes,3,3,0,6,3,2,5,4,0,2
42,Travel_Rarely,Sales,5,2,4,Male,3,Manager,Married,18303,6,No,3,2,0,21,3,4,1,0,0,0
20,Travel_Rarely,Sales,2,3,3,Female,2,Sales Representative,Single,2044,1,No,3,4,0,2,3,2,2,2,0,2
60,Travel_Rarely,Research & Development,7,3,1,Female,3,Manager,Married,19566,5,No,3,4,0,33,5,1,29,8,11,10
29,Travel_Rarely,Research & Development,1,3,1,Male,3,Healthcare Representative,Married,5373,0,No,3,1,1,6,5,2,5,3,0,2
39,Travel_Rarely,Sales,2,5,1,Male,4,Sales Executive,Single,7880,0,No,3,4,0,9,3,3,8,7,0,7
52,Travel_Rarely,Research & Development,1,2,4,Male,3,Manager,Married,17099,2,No,3,2,1,26,2,2,9,8,7,8
32,Travel_Rarely,Sales,6,4,2,Male,3,Sales Executive,Single,5010,1,No,3,1,0,12,0,3,11,8,5,7
54,Travel_Rarely,Research & Development,10,3,3,Female,3,Manufacturing Director,Single,4440,6,Yes,3,4,0,9,3,3,5,2,1,4
